,recipe,user,rating
0,Recipe 1,user1,3
1,Recipe 1,user2,2
2,Recipe 1,user3,3
3,Recipe 1,user4,3
4,Recipe 1,user5,3
5,Recipe 2,user1,5
6,Recipe 2,user2,4
7,Recipe 2,user3,5
8,Recipe 2,user4,2
9,Recipe 2,user5,1
10,Recipe 3,user1,2
11,Recipe 3,user2,5
12,Recipe 3,user3,2
13,Recipe 3,user4,3
14,Recipe 3,user5,3
15,Recipe 4,user1,5
16,Recipe 4,user2,1
17,Recipe 4,user3,3
18,Recipe 4,user4,1
19,Recipe 4,user5,1
20,Recipe 5,user1,4
21,Recipe 5,user2,3
22,Recipe 5,user3,3
23,Recipe 5,user4,4
24,Recipe 5,user5,4
25,Recipe 6,user1,4
26,Recipe 6,user2,3
27,Recipe 6,user3,5
28,Recipe 6,user4,5
29,Recipe 6,user5,5
30,Recipe 7,user1,3
31,Recipe 7,user2,3
32,Recipe 7,user3,1
33,Recipe 7,user4,3
34,Recipe 7,user5,5
35,Recipe 8,user1,5
36,Recipe 8,user2,3
37,Recipe 8,user3,5
38,Recipe 8,user4,4
39,Recipe 8,user5,3
40,Recipe 9,user1,1
41,Recipe 9,user2,3
42,Recipe 9,user3,4
43,Recipe 9,user4,4
44,Recipe 9,user5,2
45,Recipe 10,user1,4
46,Recipe 10,user2,1
47,Recipe 10,user3,4
48,Recipe 10,user4,4
49,Recipe 10,user5,5
50,Recipe 11,user1,2
51,Recipe 11,user2,4
52,Recipe 11,user3,3
53,Recipe 11,user4,5
54,Recipe 11,user5,4
55,Recipe 12,user1,3
56,Recipe 12,user2,4
57,Recipe 12,user3,1
58,Recipe 12,user4,5
59,Recipe 12,user5,5
60,Recipe 13,user1,3
61,Recipe 13,user2,2
62,Recipe 13,user3,1
63,Recipe 13,user4,1
64,Recipe 13,user5,2
65,Recipe 14,user1,3
66,Recipe 14,user2,3
67,Recipe 14,user3,1
68,Recipe 14,user4,3
69,Recipe 14,user5,4
70,Recipe 15,user1,1
71,Recipe 15,user2,1
72,Recipe 15,user3,5
73,Recipe 15,user4,2
74,Recipe 15,user5,3
75,Recipe 16,user1,4
76,Recipe 16,user2,1
77,Recipe 16,user3,1
78,Recipe 16,user4,2
79,Recipe 16,user5,5
80,Recipe 17,user1,1
81,Recipe 17,user2,3
82,Recipe 17,user3,2
83,Recipe 17,user4,2
84,Recipe 17,user5,1
85,Recipe 18,user1,4
86,Recipe 18,user2,4
87,Recipe 18,user3,2
88,Recipe 18,user4,3
89,Recipe 18,user5,2
90,Recipe 19,user1,3
91,Recipe 19,user2,2
92,Recipe 19,user3,1
93,Recipe 19,user4,1
94,Recipe 19,user5,5
95,Recipe 20,user1,3
96,Recipe 20,user2,4
97,Recipe 20,user3,5
98,Recipe 20,user4,5
99,Recipe 20,user5,1
